title,author,year,isbn
The Graveyard Book,Neil Gaiman,2008,
Summary the Psychology of Money,Book PRO,2022,
"After (After Series, Book 1)",Anna Todd,2014,
Eyewitness,DK Publishing,2000,
Shatter Me,Tahereh Mafi,2011,
Game of Thrones,Book Of Thrones,2017,
The Blade Itself,Joe Abercrombie,2001,
March. Book One,"John Lewis, Andrew Aydin, Nate Powell",2013,
Sketch Book for Kids,Js Sketch Book,2019,
The Book of Life,Deborah Harkness,2014,
Charlotte's Web,Jennifer Frantz,2006,
Storm Front,Jim Butcher,2000,
Demon Slayer Coloring Book,sara coloring,2021,
Book Lovers,Emily Henry,2022,
Amulet,Kazu Kibuishi,2008,
Yellowface,R. F. Kuang,2023,
Read People Like a Book,Patrick King,2020,
The Book with No Pictures,B. J. Novak,2001,
